level1,level2,level3,,sv,en
1,,,,Naturvetenskap,Natural sciences 
,,,,,
,101,,,Matematik,Mathematics
,,10101,,Matematisk analys,Mathematical Analysis
,,10102,,Geometri,Geometry
,,10103,,Algebra och logik,Algebra and Logic 
,,10104,,Diskret matematik ,Discrete Mathematics 
,,10105,,Beräkningsmatematik,Computational Mathematics 
,,10106,,Sannolikhetsteori och statistik,Probability Theory and Statistics 
,,10199,,Annan matematik,Other Mathematics
,,,,,
,102,,,Data- och informationsvetenskap (Datateknik)    ,Computer and Information Sciences
,,10201,,Datavetenskap (datalogi),Computer Sciences 
,,10202,,"Systemvetenskap, informationssystem och informatik (samhällsvetenskaplig inriktning under 50804)",Information Systems (Social aspects to be 50804)
,,10203,,Bioinformatik (beräkningsbiologi) (tillämpningar under 10610),Bioinformatics (Computational Biology) (applications to be 10610)
,,10204,,Människa-datorinteraktion (interaktionsdesign) (Samhällsvetenskapliga aspekter under 50803),Human Computer Interaction (Social aspects to be 50803)
,,10205,,Programvaruteknik,Software Engineering 
,,10206,,Datorteknik,Computer Engineering 
,,10207,,Datorseende och robotik (autonoma system),Computer Vision and Robotics (Autonomous Systems)
,,10208,,Språkteknologi (språkvetenskaplig databehandling),Language Technology (Computational Linguistics)
,,10209,,Medieteknik,Media and Communication Technology 
,,10299,,Annan data- och informationsvetenskap,Other Computer and Information Science 
,,,,,
,103,,,Fysik,Physical Sciences
,,10301,,Subatomär fysik,Subatomic Physics
,,,,Häri ingår:,Including:
,,,,fält- och partikelfysik,Particle and Field Physics
,,,,astropartikelfysik,Astroparticle Physics
,,,,kärnfysik,Nuclear Physics
,,10302,,Atom- och molekylfysik och optik ,Atom and Molecular Physics and Optics 
,,,,Häri ingår:,Including:
,,,,kemisk fysik,Chemical Physics
,,,,laseroptik,Laser Optics
,,,,kvantoptik,Quantum Optics
,,10303,,"Fusion, plasma och rymdfysik ","Fusion, Plasma and Space Physics "
,,10304,,Den kondenserade materiens fysik ,Condensed Matter Physics 
,,10305,,"Astronomi, astrofysik och kosmologi","Astronomy, Astrophysics and Cosmology"
,,10306,,Acceleratorfysik och instrumentering ,Accelerator Physics and Instrumentation
,,10399,,Annan fysik ,Other Physics Topics
,,,,,
,104,,,Kemi,Chemical Sciences
,,10401,,Analytisk kemi,Analytical Chemistry 
,,10402,,Fysikalisk kemi,Physical Chemistry
,,,,Häri ingår:,Including:
,,,, kolloidkemi, Colloid Chemistry
,,10403,,Materialkemi ,Materials Chemistry 
,,10404,,Oorganisk kemi,Inorganic Chemistry
,,,,Häri ingår:,Including:
,,,,elektrokemi,Electrochemistry
,,,,kärnkemi,Nuclear Chemistry
,,10405,,Organisk kemi,Organic Chemistry 
,,10406,,Polymerkemi ,Polymer Chemistry 
,,10407,,Teoretisk kemi,Theoretical Chemistry
,,,,Häri ingår:,Including:
,,,,kvantkemi, Quantum Chemistry
,,10499,,Annan kemi,Other Chemistry Topics
,,,,,
,105,,,Geovetenskap och miljövetenskap,Earth and Related Environmental Sciences
,,10501,,Klimatforskning,Climate Research  
,,10502,,Miljövetenskap (Samhällsvetenskapliga aspekter under 507) ,Environmental Sciences (social aspects to be 507) 
,,10503,,Multidisciplinär geovetenskap ,"Geosciences, Multidisciplinary"
,,10504,,Geologi,Geology
,,10505,,Geofysik,Geophysics
,,10506,,Geokemi ,Geochemistry
,,10507,,Naturgeografi ,Physical Geography
,,10508,,Meteorologi och atmosfärforskning ,Meteorology and Atmospheric Sciences 
,,10509,,"Oceanografi, hydrologi och vattenresurser ","Oceanography, Hydrology and Water Resources"
,,10599,,Annan geovetenskap och miljövetenskap,Other Earth and Related Environmental Sciences 
,,,,,
,106,,,Biologi (Medicinska tillämpningar under 3 och lantbruksvetenskapliga under 4),Biological Sciences  (Medical to be 3 and Agricultural to be 4)
,,10601,,Strukturbiologi ,Structural Biology
,,10602,,Biokemi och molekylärbiologi,Biochemistry and Molecular Biology
,,,,Häri ingår:,Including:
,,,, biokemisk metodik,Biochemical Research Methods
,,10603,,Biofysik,Biophysics
,,10604,,Cellbiologi,Cell Biology 
,,10605,,Immunologi (medicinsk under 30110 och lantbruksvetenskaplig under 40302),Immunology (medical  to be 30110 and agricultural to be 40302)
,,10606,,Mikrobiologi (medicinsk under 30109 och lantbruksvetenskaplig under 40302),Microbiology (medical  to be 30109 and agricultural to be 40302)
,,,,Häri ingår:,Including:
,,,,virologi,Virology
,,,,mykologi, Mycology
,,10607,,Botanik ,Botany 
,,,,Häri ingår:,Including:
,,,,växtfysiologi,Plant Physiology
,,10608,,Zoologi,Zoology
,,,,Häri ingår:,Including:
,,,,zoofysiologi,Zoophysiology
,,,,morfologi,Morphology
,,,,ornitologi,Ornithology
,,,,entomologi,Entomology
,,10609,,Genetik (medicinsk under 30107 och lantbruksvetenskaplig under 40402),Genetics (medical to be 30107 and agricultural to be 40402)
,,10610,,Bioinformatik och systembiologi (metodutveckling under 10203),Bioinformatics and Systems Biology (methods development to be 10203)
,,10611,,Ekologi ,Ecology
,,,,Häri ingår:,Including:
,,,,akvatisk ekologi,Aquatic Ecology
,,,,terrester ekologi,Terrestrial Ecology
,,,,bevarandebiologi,Biodiversity Conservation
,,10612,,Biologisk systematik,Biological Systematics
,,10613,,Etologi ,Behavioural Sciences Biology 
,,10614,,Utvecklingsbiologi,Developmental Biology 
,,10615,,Evolutionsbiologi,Evolutionary Biology
,,10699,,Annan biologi,Other Biological Topics
,,,,,
,107,,,Annan naturvetenskap,Other Natural Sciences 
,,10799,,Övrig annan naturvetenskap,Other Natural Sciences not elsewhere specified
,,,,,
,,,,,
2,,,,Teknik  ,Engineering and Technology
,,,,,
,201,,,Samhällsbyggnadsteknik,Civil Engineering 
,,20101,,Arkitekturteknik,Architectural Engineering
,,20102,,Byggproduktion,Construction Management
,,20103,,Husbyggnad,Building Technologies
,,20104,,Infrastrukturteknik,Infrastructure Engineering
,,20105,,Transportteknik och logistik,Transport Systems and Logistics
,,20106,,Geoteknik,Geotechnical Engineering
,,20107,,Vattenteknik ,Water Engineering
,,20108,,Miljöanalys och bygginformationsteknik,Environmental Analysis and  Construction Information Technology
,,20199,,Annan samhällsbyggnadsteknik,Other Civil Engineering
,,,,,
,202,,,Elektroteknik och elektronik,"Electrical Engineering, Electronic Engineering, Information Engineering"
,,20201,,Robotteknik och automation,Robotics
,,20202,,Reglerteknik,Control Engineering
,,20203,,Kommunikationssystem,Communication Systems
,,20204,,Telekommunikation,Telecommunications
,,20205,,Signalbehandling,Signal Processing
,,20206,,Datorsystem,Computer Systems
,,20207,,Inbäddad systemteknik,Embedded Systems
,,20299,,Annan elektroteknik och elektronik,"Other Electrical Engineering, Electronic Engineering, Information Engineering"
,,,,,
,203,,,Maskinteknik,Mechanical Engineering
,,20301,,Teknisk mekanik,Applied Mechanics 
,,20302,,Rymd- och flygteknik,Aerospace Engineering
,,20303,,Farkostteknik,Vehicle Engineering 
,,20304,,Energiteknik,Energy Engineering
,,20305,,Tillförlitlighets- och kvalitetsteknik,Reliability and Maintenance
,,20306,,Strömningsmekanik och akustik,Fluid Mechanics and Acoustics
,,20307,,"Produktionsteknik, arbetsvetenskap och ergonomi","Production Engineering, Human Work Science and Ergonomics"
,,20308,,"Tribologi (ytteknik omfattande friktion, nötning och smörjning)","Tribology (interacting surfaces including Friction, Lubrication and Wear)  "
,,20399,,Annan maskinteknik ,Other Mechanical Engineering
,,,,Häri ingår:,Including:
,,,,logistik,Logistics
,,,,förbränningsteknik,Combustion Technology
,,,,återvinningsteknik,Recycling Technology 
,,,,industriell ekonomi,Industrial engineering and management
,,,,,
,204,,,Kemiteknik,Chemical Engineering
,,20401,,Kemiska processer,Chemical Process Engineering
,,20402,,Korrosionsteknik,Corrosion Engineering 
,,20403,,Polymerteknologi,Polymer Technologies
,,20404,,Farmaceutisk synteskemi ,Pharmaceutical Chemistry
,,20499,,Annan kemiteknik,Other Chemical Engineering
,,,,,
,205,,,Materialteknik,Materials Engineering
,,20501,,Keramteknik,Ceramics
,,20502,,Kompositmaterial och -teknik,Composite Science and Engineering
,,20503,,"Pappers-, massa-  och fiberteknik","Paper, Pulp and Fiber Technology"
,,20504,,"Textil-, gummi- och polymermaterial","Textile, Rubber and Polymeric Materials"
,,20505,,"Bearbetnings-, yt- och fogningsteknik","Manufacturing, Surface and Joining Technology"
,,20506,,Metallurgi och metalliska material,Metallurgy and Metallic Materials
,,20599,,Annan materialteknik,Other Materials Engineering
,,,,,
,206,,,Medicinteknik,Medical Engineering
,,20601,,Medicinsk laboratorie- och mätteknik,Medical Laboratory and Measurements Technologies
,,20602,,Medicinsk material- och protesteknik,Medical Materials
,,20603,,Medicinsk bildbehandling,Medical Image Processing
,,20604,,Medicinsk apparatteknik,Medical Equipment Engineering
,,20605,,Medicinsk ergonomi,Medical Ergonomics
,,20699,,Annan medicinteknik,Other Medical Engineering
,,,,,
,207,,,Naturresursteknik,Environmental Engineering
,,20701,,Geofysisk teknik,Geophysical Engineering
,,20702,,Energisystem,Energy Systems
,,20703,,Fjärranalysteknik,Remote Sensing
,,20704,,Mineral- och gruvteknik,Mineral and Mine Engineering
,,20705,,Marin teknik,Marine Engineering
,,20706,,Havs- och vattendragsteknik,Ocean and River Engineering
,,20707,,Miljöledning,Environmental Management
,,20799,,Annan naturresursteknik,Other Environmental Engineering
,,,,,
,208,,,Miljöbioteknik,Environmental Biotechnology
,,20801,,Biosanering,Bioremediation
,,20802,,Diagnostisk bioteknologi,Diagnostic Biotechnology
,,20803,,Vattenbehandling,Water Treatment
,,20804,,Bioteknisk etik,Bioethics
,,20899,,Annan miljöbioteknik,Other Environmental Biotechnology
,,,,,
,209,,,Industriell bioteknik,Industrial Biotechnology
,,20901,,Bioprocessteknik,Bioprocess Technology
,,20902,,Biokemikalier,Biochemicals
,,20903,,Biomaterial,Bio Materials
,,20904,,Bioenergi,Bioenergy
,,20905,,Läkemedelsbioteknik,Pharmaceutical Biotechnology
,,20906,,Biokatalys och enzymteknik,Biocatalysis and Enzyme Technology
,,20907,,Bioteknisk apparatteknik,Bioengineering Equipment
,,20908,,Medicinsk bioteknik,Medical Biotechnology
,,20999,,Annan industriell bioteknik,Other Industrial Biotechnology
,,,,,
,210,,,Nanoteknik,Nano-technology
,,21001,,Nanoteknik,Nano-technology 
,,,,,
,211,,,Annan teknik,Other Engineering and Technologies
,,21101,,Livsmedelsteknik,Food Engineering 
,,21102,,Mediateknik,Media Engineering
,,21103,,Interaktionsteknik,Interaction Technologies
,,21199,,Övrig annan teknik,Other Engineering and Technologies not elsewhere specified
,,,,,
,,,,,
3,,,,Medicin och hälsovetenskap,Medical and Health Sciences 
,,,,,
,301,,,Medicinska och farmaceutiska grundvetenskaper,Basic Medicine
,,30101,,Farmaceutiska vetenskaper,Pharmaceutical Sciences
,,30102,,Farmakologi och toxikologi,Pharmacology and Toxicology
,,30103,,Läkemedelskemi,Medicinal Chemistry
,,30104,,Samhällsfarmaci och klinisk farmaci,Social and Clinical Pharmacy
,,30105,,Neurovetenskaper,Neurosciences
,,30106,,Fysiologi,Physiology
,,30107,,Medicinsk genetik,Medical Genetics
,,30108,,Cell- och molekylärbiologi,Cell and Molecular Biology
,,30109,,Mikrobiologi inom det medicinska området,Microbiology in the medical area
,,30110,,Immunologi inom det medicinska området,Immunology in the medical area
,,30199,,Andra medicinska och farmaceutiska grundvetenskaper,Other Basic Medicine
,,,,,
,302,,,Klinisk medicin,Clinical Medicine
,,30201,,Anestesi och intensivvård,Anesthesiology and Intensive Care
,,30202,,Hematologi,Hematology
,,30203,,Cancer och onkologi,Cancer and Oncology
,,30204,,Dermatologi och venereologi,Dermatology and Venereal Diseases
,,30205,,Endokrinologi och diabetes,Endocrinology and Diabetes
,,30206,,Kardiologi,Cardiac and Cardiovascular Systems
,,30207,,Neurologi,Neurology
,,30208,,Radiologi och bildbehandling,"Radiology, Nuclear Medicine and Medical Imaging"
,,30209,,Infektionsmedicin ,Infectious Medicine
,,30210,,Reumatologi och inflammation,Rheumatology and Autoimmunity
,,30211,,Ortopedi,Orthopaedics
,,30212,,Kirurgi,Surgery
,,30213,,Gastroenterologi,Gastroenterology and Hepatology
,,30214,,Urologi och njurmedicin,Urology and Nephrology
,,30215,,Psykiatri,Psychiatry
,,30216,,Odontologi,Dentistry
,,30217,,Oftalmologi,Ophthalmology
,,30218,,Oto-rhino-laryngologi,Otorhinolaryngology
,,30219,,Lungmedicin och allergi,Respiratory Medicine and Allergy
,,30220,,Reproduktionsmedicin och gynekologi,"Obstetrics, Gynaecology and Reproductive Medicine"
,,30221,,Pediatrik,Pediatrics
,,30222,,Geriatrik ,Geriatrics 
,,30223,,Klinisk laboratoriemedicin,Clinical Laboratory Medicine
,,30224,,Allmänmedicin,General Practice
,,30299,,Annan klinisk medicin,Other Clinical Medicine
,,,,,
,303,,,Hälsovetenskap,Health Sciences
,,30301,,"Hälso- och sjukvårdsorganisation, hälsopolitik och hälsoekonomi","Health Care Service and Management, Health Policy and Services and Health Economy"
,,30302,,"Folkhälsovetenskap, global hälsa, socialmedicin och epidemiologi","Public Health, Global Health, Social Medicine and Epidemiology"
,,30303,,Arbetsmedicin och miljömedicin,Occupational Health and Environmental Health
,,30304,,Näringslära,Nutrition and Dietetics
,,30305,,Omvårdnad,Nursing
,,30306,,Arbetsterapi,Occupational Therapy
,,30307,,Sjukgymnastik,Physiotherapy
,,30308,,Idrottsvetenskap,Sport and Fitness Sciences
,,30309,,Beroendelära,Substance Abuse
,,30310,,Medicinsk etik,Medical Ethics
,,30399,,Annan hälsovetenskap,Other Health Sciences
,,,,,
,304,,,Medicinsk bioteknologi,Medical Biotechnology
,,30401,,"Medicinsk bioteknologi (inriktn. mot cellbiologi (inkl. stamcellsbiologi), molekylärbiologi, mikrobiologi, biokemi eller biofarmaci)","Medical Biotechnology (focus on Cell Biology (incl. Stem Cell Biology), Molecular Biology, Microbiology, Biochemistry or Biopharmacy)"
,,30402,,Biomedicinsk laboratorievetenskap/teknologi,Biomedical Laboratory Science/Technology
,,30403,,Biomaterialvetenskap,Biomaterials Science
,,30499,,Annan medicinsk bioteknologi,Other Medical Biotechnology
,,,,,
,305,,,Annan medicin och hälsovetenskap,Other Medical and Health Sciences
,,30501,,Rättsmedicin,Forensic Science
,,30502,,"Gerontologi, medicinsk/hälsovetenskaplig inriktning  (Samhällsvetenskaplig inriktn.under 50999) ","Gerontology, specialising in Medical and Health Sciences (specialising in Social Sciences to be 50999)"
,,30599,,Övrig annan medicin och hälsovetenskap,Other Medical and Health Sciences not elsewhere specified
,,,,,
,,,,,
4,,,,Lantbruksvetenskap och veterinärmedicin,Agricultural and Veterinary sciences
,,,,,
,401,,,"Lantbruksvetenskap, skogsbruk och fiske","Agriculture, Forestry and Fisheries"
,,40101,,Jordbruksvetenskap,Agricultural Science
,,,,Häri ingår:,Including:
,,,,växtproduktion,Plant Production
,,,,genetik,Plant Genetics
,,,,förädling,Plant Breeding
,,,,växtskydd,Plant Protection
,,,,patologi,Plant Pathology
,,,,jordbruksekologi,Agricultural Ecology
,,,,agroteknologi,Agricultural Technology
,,,,agrarhistoria,Agricultural History
,,40102,,Trädgårdsvetenskap/hortikultur ,Horticulture
,,40103,,Livsmedelsvetenskap,Food Science
,,,,Häri ingår:,Including:
,,,,produktkvalitet,Product Quality
,,,,vegetabilier,Vegetables
,,,,mjölk,Milk
,,,,kött,Meat
,,,,fisk,Fish
,,40104,,Skogsvetenskap,Forest Science
,,,,Häri ingår:,Including:
,,,,inventering,Forest Inventory
,,,,planering,Forest Planning
,,,,skötsel,Silviculture
,,,,produktion,Forest Protection
,,,,föryngring,Regeneration
,,,,hushållning,Forest Management
,,,,genetik,Forest Genetics
,,,,mykologi,Forest Mycology
,,,,patologi,Forest Pathology
,,,,skogsteknologi,Forest Technology
,,,,skogshistoria,Forest History
,,40105,,Trävetenskap,Wood Science
,,,,Häri ingår:,Including:
,,,,träteknologi,Wood Technology
,,40106,,Markvetenskap,Soil Science
,,,,Häri ingår:,Including:
,,,,biogeofysik,Biogeophysics
,,,,biogeokemi,Biogeochemistry
,,,,markmikrobiologi,Soil Micobiology
,,,,växt-mark interaktioner,Plant-Soil Interactions
,,40107,,Fisk- och akvakulturforskning ,Fish and Aquacultural Science
,,,,Häri ingår:,Including:
,,,,fiskodling,Fishfarming
,,,,genetik,Fish Genetics
,,,,avel,Fish Breeding
,,,,fiskpopulationsbiologi,Fish Ecology
,,,,fisketologi,Fish Ethology
,,40108,,Landskapsarkitektur , Landscape Architecture
,,,,Häri ingår:,Including:
,,,,planering,Planning
,,,,design,Design
,,,,vård,Management
,,,,,
,402,,,Husdjursvetenskap,Animal and Dairy Sience
,,40201,,Husdjursvetenskap,Animal and Dairy Science. 
,,,,Häri ingår:,Including:
,,,,utfodring och vård,Husbandary
,,,,etologi,Ethology
,,,,genetik och avel,Genetics and Breeding
,,,,husdjurshygien,Animal Hygiene
,,,,nutrition och vård,Nutrition and Management
,,,,djuretik,Animal Ethics
,,,,,
,403,,,Veterinärmedicin,Veterinary Science
,,40301,,Medicinsk biovetenskap,Medical Bioscience
,,,,Häri ingår:,Including:
,,,,anatomi,Anatomy
,,,,fysiologi,Physiology
,,,,biokemi,Biochemistry
,,40302,,Patobiologi ,Pathobiology
,,,,Häri ingår:,Including:
,,,,immunologi,Immunology
,,,,mikrobiologi,Microbiology
,,,,patologi,Pathology
,,,,toxikologi,Toxicology
,,,,farmakologi,Pharmacology
,,,,livsmedelssäkerhet,Food Safety
,,40303,,Klinisk vetenskap,Clinical Science
,,,,Häri ingår:,Including:
,,,,anestesiologi,Anesthesiology
,,,,diagnostik,Diagnostics
,,,,djuromvårdnad,Veterinary Nursing
,,,,epidemiologi,Epidemiology
,,,,kirurgi,Surgery
,,,,medicin,Medicine
,,,,reproduktion,Reproduction
,,40304,,Annan veterinärmedicin,Other Veterinary Science
,,,,Häri ingår:,Including:
,,,,djuretik,Animal Ethics
,,,,,
,,,,,
,404,,,Bioteknologi med applikationer på växter och djur,Agricultural Biotechnology
,,40401,,Växtbioteknologi,Plant Biotechnology
,,,,Häri ingår:,Including:
,,,,skogsbioteknologi,Forest Biotechnology
,,,,genteknologi,Gene Technology
,,40402,,Genetik och förädling inom lantbruksvetenskap,Genetics and Breeding in Agricultural Sciences
,,,,Häri ingår:,Including:
,,,,mikroorganismer,Microorganisms
,,,,svampar,Fungi
,,,,växter och djur inom lantbruksvetenskapsområdet,Plants and Animals in Agricultural Sciences
,,,,,
,405,,,Annan lantbruksvetenskap ,Other Agricultural Sciences
,,40501,,Förnyelsebar bioenergi,Renewable Bioenergy Research
,,40502,,Vilt- och fiskeförvaltning,Fish and Wildlife Management 
,,,,Häri ingår:,Including:
,,,,jakt,Hunting
,,40503,,Lantbrukets arbetsmiljö och säkerhet ,Agricultural Occupational Health and Safety
,,40504,,Miljö- och  naturvårdsvetenskap ,Environmental Sciences related to Agriculture and Land-use
,,,,Häri ingår:,Including:
,,,,biodiversitet,Research on Biodiversity
,,,,risk ,Risks
,,,,etikforskning,Ethics
,,40599,,Övrig annan lantbruksvetenskap,Other Agricultural Sciences not elsewhere specified
,,,,,
,,,,,
5,,,,Samhällsvetenskap,Social Sciences
,,,,,
,501,,,Psykologi,Psychology
,,50101,,Psykologi  (exklusive tillämpad psykologi),Psychology (excluding Applied Psychology)
,,50102,,Tillämpad psykologi ,Applied Psychology
,,,,Häri ingår:,Including:
,,,,klinisk psykologi,Clinical Psychology
,,,,psykoterapi,Psychotherapy
,,,,,
,502,,,Ekonomi och näringsliv,Economics and Business
,,50201,,Nationalekonomi ,Economics
,,50202,,Företagsekonomi,Business Administration
,,50203,,Ekonomisk historia,Economic History
,,,,,
,503,,,Utbildningsvetenskap,Educational Sciences
,,50301,,Pedagogik,Pedagogy
,,,,Häri ingår:,Including:
,,,,special- och andra inriktningar av pedagogik,Special Needs- and other orientations of Pedagogy
,,50302,,Didaktik ,Didactics
,,,,Häri ingår:,Including:
,,,,allmän- och  ämnesdidaktik,General and Subject Didactics
,,50303,,Lärande,Learning 
,,50304,,Pedagogiskt arbete,Pedagogical Work 
,,,,,
,504,,,Sociologi,Sociology
,,50401,,"Sociologi (exklusive socialt arbete, socialpsykologi och socialantropologi)","Sociology (excluding Social Work, Social Psychology and Social Anthropology)"
,,50402,,Socialt arbete,Social Work
,,50403,,Socialpsykologi ,Social Psychology
,,50404,,Socialantropologi,Social Anthropology
,,,,,
,505,,,Juridik,Law
,,50501,,Juridik (exklusive juridik och samhälle),Law (excluding Law and Society)
,,50502,,Juridik och samhälle,Law and Society 
,,,,Häri ingår:,Including:
,,,,rättssociologi,Sociology of Law
,,,,kriminologi,Criminology
,,,,,
,506,,,Statsvetenskap,Political Science
,,50601,,Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier),Political Science (excluding Public Administration Studies and Globalisation Studies)
,,50602,,Studier av offentlig förvaltning,Public Administration Studies
,,50603,,Globaliseringsstudier,Globalisation Studies
,,,,,
,507,,,Social och ekonomisk geografi,Social and Economic Geography
,,50701,,Kulturgeografi,Human Geography
,,50702,,"Ekonomisk geografi
",Economic Geography 
,,,,Häri ingår:,Including:
,,,,teman som t.ex. turism,Themes for example Tourism
,,,,,
,508,,,Medie- och kommunikationsvetenskap,Media and Communications
,,50801,,Medievetenskap,Media Studies
,,50802,,Kommunikationsvetenskap,Communication Studies
,,50803,,Mänsklig interaktion med IKT,Human Aspects of ICT
,,50804,,"Systemvetenskap, informationssystem och informatik med samhällsvetenskaplig inriktning","Information Systems, Social aspects"
,,50805,,Biblioteks-och informationsvetenskap,Information Studies
,,,,,
,509,,,Annan samhällsvetenskap,Other Social Sciences
,,50901,,Tvärvetenskapliga studier inom samhällsvetenskap,Social Sciences Interdisciplinary 
,,,,Häri ingår:,Including:
,,,,freds- och konfliktforskning,Peace and Conflict Research
,,,,studier om ett hållbart  samhälle,Studies on Sustainable Society
,,50902,,Genusstudier,Gender Studies
,,50903,,Arbetslivsstudier,Work Sciences
,,50904,,Internationell migration och etniska relationer (IMER),International Migration and Ethnic Relations
,,50999,,Övrig annan samhällsvetenskap,Other Social Sciences not elsewhere specified
,,,,,
,,,,,
6,,,,Humaniora och konst,Humanities and the Arts
,,,,,
,601,,,Historia och arkeologi ,History and Archaeology 
,,60101,,Historia,History
,,60102,,Teknikhistoria,History of Technology
,,60103,,Arkeologi,Archaeology
,,,,,
,602,,,Språk och litteratur,Languages and Literature 
,,60201,,Jämförande språkvetenskap och allmän lingvistik,General Language Studies and Linguistics
,,60202,,Studier av enskilda språk,Specific Languages
,,60203,,Litteraturvetenskap,General Literary studies
,,,,Häri ingår:,Including:
,,,,litteraturteori,Literary Theory
,,60204,,Litteraturstudier,Specific Literatures
,,,,Häri ingår:,Including:
,,,,litteraturer från särskilda språkområden,Literature from specific Language areas
,,,,,
,,,,,
,603,,,"Filosofi, etik och religion","Philosophy, Ethics and Religion"
,,60301,,Filosofi,Philosophy
,,60302,,Etik,Ethics
,,60303,,Religionsvetenskap,Religious Studies 
,,,,Häri ingår:,Including:
,,,,religionsbeteendevetenskap,Social Sciences of Religions
,,,,tros- och livsåskådningsvetenskap/systematisk teologi,Studies in Faiths and Ideologies/Systematic Theology
,,,,bibelvetenskap,Biblical Studies
,,,,kyrkovetenskap,Ecclesiology/ Practical Theology
,,,,kyrkohistoria,Church History
,,60304,,Religionshistoria,History of Religions
,,60305,,Idé- och lärdomshistoria ,History of Ideas
,,,,,
,604,,,Konst,Arts
,,60401,,Bildkonst,Visual Arts  
,,60402,,Musik,Music
,,60403,,Litterär gestaltning ,Literary Composition 
,,60404,,Scenkonst,Performing Arts
,,60405,,Arkitektur,Architecture
,,60406,,Design,Design
,,60407,,Konstvetenskap,Art History
,,60408,,Musikvetenskap,Musicology
,,60409,,Teatervetenskap,Performing Art Studies
,,60410,,Filmvetenskap,Studies on Film
,,,,,
,605,,,Annan humaniora ,Other Humanities 
,,60501,,Antikvetenskap,Classical Archaeology and Ancient History
,,60502,,Kulturstudier,Cultural Studies 
,,60503,,Etnologi,Ethnology
,,60599,,Övrig annan humaniora,Other Humanities not elsewhere specified
